2017-05-18 01:13:25:637	INFO	ResourceLimitChecker.fromConfiguration	Using the following resource limits: CPU-time limit of 3600s

2017-05-18 01:13:25:670	INFO	CPAchecker.run	CPAchecker 1.6.1 (Java HotSpot(TM) 64-Bit Server VM 1.8.0_77) started

2017-05-18 01:13:26:310	WARNING	CheckBindingVisitor.visit	Undefined function assert found, first called in main.c, line 55

2017-05-18 01:13:26:692	INFO	PredicateCPA:PredicateCPA.<init>	Using predicate analysis with MathSAT5 version 5.3.11 (103797dbdca7) (May  3 2016 09:27:52, gmp 5.1.3, gcc 4.8.5, 64-bit) and JFactory 1.21.

2017-05-18 01:13:26:731	INFO	PredicateCPA:InvariantsManager.<init>	No invariants are computed

2017-05-18 01:13:26:788	INFO	PredicateCPA:PredicateCPARefiner.<init>	Using refinement for predicate analysis with PredicateAbstractionRefinementStrategy strategy.

2017-05-18 01:13:26:798	WARNING	CPAchecker.printConfigurationWarnings	The following configuration options were specified but are not used:
 counterexample.checker.config
 counterexample.checker 


2017-05-18 01:13:26:798	INFO	CPAchecker.runAlgorithm	Starting analysis ...

2017-05-18 01:13:27:089	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 55: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_0);

2017-05-18 01:13:27:089	INFO	PredicateCPA:ExpressionToFormulaVisitor.visit	Assuming external function assert to be a pure function.

2017-05-18 01:13:27:090	WARNING	PredicateCPA:ExpressionToFormulaVisitor.visit	Cannot get declaration of function assert, ignoring calls to it.

2017-05-18 01:13:27:092	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:093	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:096	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 56: Return type of function assert is void, but result is used as type int: assert(0 == __CPAchecker_TMP_1);

2017-05-18 01:13:27:096	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:097	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:103	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 57: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_2);

2017-05-18 01:13:27:103	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:104	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:110	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 58: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_3);

2017-05-18 01:13:27:110	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:111	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:116	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 59: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_4);

2017-05-18 01:13:27:117	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:117	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:123	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 60: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_5);

2017-05-18 01:13:27:123	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:123	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:129	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 61: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_6);

2017-05-18 01:13:27:129	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:130	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:135	WARNING	PredicateCPA:CtoFormulaConverter.getReturnType	main.c, line 64: Return type of function assert is void, but result is used as type int: assert(__CPAchecker_TMP_7);

2017-05-18 01:13:27:135	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:136	INFO	AssertionAutomaton:AutomatonTransition.executeActions	WARNING: Function assert() without body detected. Please run the C preprocessor on this file to enable assertion checking.

2017-05-18 01:13:27:136	INFO	CPAchecker.runAlgorithm	Stopping analysis ...

